tick,last,bid,mid,ask,current_bid,mid,current_ask,position,position_vwap,pnl_per_share,realized
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.07,20.09,19.97,20.07,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.05,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.06,20.05,20.05,20.06,19.97,20.05,20.19,0.0,0.0,0.0,0.0
10,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
11,20.08,20.05,20.08,20.11,19.97,20.08,20.19,0.0,0.0,0.0,0.0
